seed,initial_x,reward,duration,loss
1177941530,-0.5575414896011353,-200.0,200,0.0
2109704804,-0.40362268686294556,-200.0,200,0.0
926977561,-0.577836811542511,-200.0,200,0.0
86758667,-0.5153536796569824,-200.0,200,0.0
446602626,-0.4277811348438263,-200.0,200,0.002653607130050659
263682408,-0.5067217350006104,-200.0,200,0.6517550759017467
1706728447,-0.40966320037841797,-200.0,200,0.4873948760330677
997002489,-0.5752059817314148,-200.0,200,0.3503700191527605
428286473,-0.516267716884613,-200.0,200,0.2408131182938814
2071124056,-0.44475042819976807,-200.0,200,0.16252930231392385
512226751,-0.4713117480278015,-200.0,200,0.10673252057284116
298069256,-0.461159884929657,-200.0,200,0.06527431443333626
207550275,-0.44478127360343933,-200.0,200,0.04090528172440827
699231802,-0.5171505808830261,-200.0,200,0.024689974626526237
555603962,-0.4142543375492096,-200.0,200,0.013265450857579708
411689246,-0.5519942045211792,-200.0,200,0.006965108625590802
1514645084,-0.4674675464630127,-200.0,200,0.003225545794703066
690723780,-0.46052446961402893,-200.0,200,0.001456907904066611
1580859271,-0.4742445945739746,-200.0,200,0.000615386325516738
118643631,-0.4810366630554199,-200.0,200,0.00023849670331401284
2074915299,-0.5157527923583984,-200.0,200,9.440188945518457e-05
1365616735,-0.5108650922775269,-200.0,200,3.995027937889972e-05
514979546,-0.573322057723999,-200.0,200,1.801635752144648e-05
147275954,-0.5835705995559692,-200.0,200,9.412293188688636e-06
425934816,-0.5069386959075928,-200.0,200,5.813086750094953e-06
2094012148,-0.5680608749389648,-200.0,200,4.03516194637632e-06
485909736,-0.5167838335037231,-200.0,200,2.9728748677371185e-06
324809751,-0.5697552561759949,-200.0,200,2.2769071074435486e-06
573551451,-0.5885204076766968,-200.0,200,1.914450658659916e-06
633918070,-0.4945049285888672,-200.0,200,1.5191889951893246e-06
1396926729,-0.46127328276634216,-200.0,200,1.1874480014739675e-06
111222572,-0.41222161054611206,-200.0,200,9.834682305154273e-07
1625838119,-0.5254446268081665,-200.0,200,7.86115538176091e-07
1531287520,-0.436676561832428,-200.0,200,6.318641499092337e-07
705832102,-0.5230462551116943,-200.0,200,5.379890080803307e-07
857455358,-0.4302942156791687,-200.0,200,4.24758891313104e-07
210895665,-0.5661121606826782,-200.0,200,3.464901146799093e-07
1113748345,-0.5755905508995056,-200.0,200,2.9314793209778145e-07
1078231680,-0.5974511504173279,-200.0,200,2.350097474845825e-07
1483708620,-0.5245364904403687,-200.0,200,1.9524299659678946e-07
33327356,-0.4252219796180725,-200.0,200,1.6523367776244414e-07
93939939,-0.5825182199478149,-200.0,200,1.3390865206019952e-07
815038378,-0.4080178737640381,-200.0,200,1.0957259746646742e-07
559284631,-0.4486035108566284,-200.0,200,9.333447451354004e-08
245759663,-0.49594414234161377,-200.0,200,7.732817721262108e-08
899651046,-0.47498396039009094,-200.0,200,6.706762178509962e-08
1096732699,-0.5488777756690979,-200.0,200,5.748068815591978e-08
199592811,-0.5088878273963928,-200.0,200,5.019000582251465e-08
1492217472,-0.5178785920143127,-200.0,200,4.130215074837906e-08
176978058,-0.5248672962188721,-200.0,200,3.545725121512078e-08
1871322556,-0.42254793643951416,-200.0,200,3.104030838585459e-08
9672165,-0.5650787949562073,-200.0,200,3.142353307339363e-08
351627283,-0.4319843649864197,-200.0,200,3.13192276735208e-08
1497730906,-0.5408379435539246,-200.0,200,2.6075235837197398e-08
99230569,-0.5627570152282715,-200.0,200,2.322440195712261e-08
914333542,-0.4105163812637329,-200.0,200,2.8440940695872996e-08
1899570110,-0.4054981470108032,-200.0,200,2.449091425660299e-08
1901984732,-0.5498105883598328,-200.0,200,3.25460450767423e-08
135727780,-0.5836160182952881,-200.0,200,5.402466285886476e-08
302573113,-0.4337713420391083,-200.0,200,4.948770310875261e-08
2126916134,-0.42896750569343567,-200.0,200,4.153227564529516e-08
839613371,-0.47957155108451843,-200.0,200,1.1315700248815118e-06
337186085,-0.5049585103988647,-200.0,200,1.2359390393612557e-06
2104974357,-0.5797487497329712,-200.0,200,7.633394930053327e-06
720613576,-0.5084887742996216,-200.0,200,7.746514306745666e-06
420259361,-0.5283495783805847,-200.0,200,1.9568953348425565e-06
640693463,-0.5836525559425354,-200.0,200,3.1115911679080454e-06
