seed,initial_x,env_reward,other_reward,reward,duration,loss,loss_RND
1177941530,-0.5575414896011353,-200.0,0.0,-200.0,200,0.0,0.0
2109704804,-0.40362268686294556,-200.0,0.0,-200.0,200,0.0,0.0
926977561,-0.577836811542511,-200.0,0.0,-200.0,200,0.0,0.0
86758667,-0.5153536796569824,-200.0,0.0,-200.0,200,0.0,0.0
446602626,-0.4277811348438263,-200.0,0.0,-200.0,200,0.002653607130050659,1.0413576383143664e-05
263682408,-0.5067217350006104,-200.0,-119.7442782574909,-319.74427825749103,200,0.6682044848799705,0.0001285383606193591
1706728447,-0.40966320037841797,-200.0,-49.478887859023786,-249.47888785902362,200,0.5193268136680126,7.40946402331133e-07
997002489,-0.5752059817314148,-200.0,-111.08711657529832,-311.0871165752984,200,0.3850258675217628,5.294338692429789e-07
428286473,-0.516267716884613,-200.0,-97.90148533632794,-297.9014853363279,200,0.2749273254722357,3.120234743647643e-07
2071124056,-0.44475042819976807,-200.0,-85.09693108819731,-285.09693108819744,200,0.1928167475014925,2.5957156616129853e-07
512226751,-0.4713117480278015,-200.0,-92.25878033675937,-292.2587803367595,200,0.1335870936885476,1.959048246646944e-07
298069256,-0.461159884929657,-200.0,-88.98166347993349,-288.9816634799338,200,0.08766294449567795,1.8014400465560243e-07
207550275,-0.44478127360343933,-200.0,-64.41919832146527,-264.4191983214653,200,0.05776190308853984,1.406752385335608e-07
699231802,-0.5171505808830261,-200.0,-83.7261600075208,-283.7261600075208,200,0.03796859687194228,1.353371393353342e-07
555603962,-0.4142543375492096,-200.0,-64.05767910602434,-264.0576791060244,200,0.02341308780014515,1.0983771617123495e-07
411689246,-0.5519942045211792,-200.0,-77.11792995740568,-277.1179299574057,200,0.014388457010500132,9.152633907216768e-08
1514645084,-0.4674675464630127,-200.0,-81.69542372570379,-281.6954237257038,200,0.008855201883707196,8.496932058843499e-08
690723780,-0.46052446961402893,-200.0,-79.9150035890158,-279.9150035890159,200,0.005769590875133872,7.478050852771644e-08
1580859271,-0.4742445945739746,-200.0,-64.32555849049706,-264.3255584904972,200,0.004409173916792497,7.971065751899431e-08
118643631,-0.4810366630554199,-200.0,-71.84370270936171,-271.8437027093617,200,0.0033249028318095954,7.22292167143479e-08
2074915299,-0.5157527923583984,-200.0,-45.93588410953881,-245.93588410953893,200,0.0030971817136742174,5.21059170122129e-08
1365616735,-0.5108650922775269,-200.0,-16.520181421225317,-216.52018142122526,200,0.0029922418791102244,7.736035929406527e-08
514979546,-0.573322057723999,-200.0,-66.78265931446269,-266.78265931446265,200,0.0036105487518943847,9.595032387732516e-08
147275954,-0.5835705995559692,-200.0,-69.97192695646504,-269.9719269564649,200,0.0034717414755141363,6.528786566040167e-08
425934816,-0.5069386959075928,-200.0,-65.51462011619397,-265.5146201161942,200,0.0031999003782402723,1.0511699395587826e-07
2094012148,-0.5680608749389648,-200.0,-48.45702281230558,-248.4570228123058,200,0.003069800297380425,1.673443983896128e-07
485909736,-0.5167838335037231,-200.0,-63.486174800356245,-263.4861748003561,200,0.0030382444127462806,1.367577929878294e-07
324809751,-0.5697552561759949,-200.0,-62.61202220763726,-262.6120222076374,200,0.0032431205781176687,2.058070534705081e-07
573551451,-0.5885204076766968,-200.0,-36.64759286980773,-236.6475928698078,200,0.0028478666138835253,1.7814086958223285e-07
633918070,-0.4945049285888672,-200.0,-35.38105797830065,-235.38105797830065,200,0.0028559456940274687,1.874726956185846e-07
1396926729,-0.46127328276634216,-200.0,-14.298731396842793,-214.2987313968428,200,0.0031281339377164843,1.7151574987162022e-07
111222572,-0.41222161054611206,-200.0,-32.63711892834483,-232.63711892834496,200,0.0030664974381215872,1.925957035830983e-07
1625838119,-0.5254446268081665,-200.0,-46.76181264791959,-246.76181264791958,200,0.003182493050699122,1.5066809681996142e-07
1531287520,-0.436676561832428,-200.0,-42.090352323524336,-242.0903523235245,200,0.0030660480982623996,1.900772156626651e-07
705832102,-0.5230462551116943,-200.0,-66.29563755366958,-266.2956375536698,200,0.003174214588943869,2.406893440487501e-07
857455358,-0.4302942156791687,-200.0,-26.523564636986066,-226.52356463698598,200,0.002978143703658134,1.3064529882922393e-07
210895665,-0.5661121606826782,-200.0,-21.926191364086126,-221.92619136408624,200,0.0032118675450328736,2.4043071668922165e-07
1113748345,-0.5755905508995056,-200.0,-50.95065453347586,-250.9506545334759,200,0.0033914256328716873,1.4540289651421289e-07
1078231680,-0.5974511504173279,-200.0,-38.16828046194599,-238.16828046194593,200,0.003206096325884573,1.7476156958795562e-07
1483708620,-0.5245364904403687,-200.0,-63.90337289541376,-263.9033728954136,200,0.002935609518899582,1.7871752624354365e-07
33327356,-0.4252219796180725,-200.0,-57.45045936997702,-257.4504593699769,200,0.0028576059371698648,1.4835131474599804e-07
93939939,-0.5825182199478149,-200.0,-19.34236734983283,-219.34236734983276,200,0.0028499271586770194,1.8789077983472068e-07
815038378,-0.4080178737640381,-200.0,-49.0050585330946,-249.00505853309463,200,0.003090045205899514,1.7442731775174636e-07
559284631,-0.4486035108566284,-200.0,-60.00912754097305,-260.0091275409731,200,0.003370270616724156,2.0705740344073576e-07
245759663,-0.49594414234161377,-200.0,-48.53238331484517,-248.5323833148451,200,0.002960335880052298,1.534508840839166e-07
899651046,-0.47498396039009094,-200.0,4.073321837136108,-195.926678162864,200,0.002767419953015633,1.389064181489541e-07
1096732699,-0.5488777756690979,-200.0,-59.869778965057776,-259.8697789650578,200,0.0031254485735553316,2.0303351269124193e-07
199592811,-0.5088878273963928,-200.0,-2.216407229381853,-202.2164072293818,200,0.0030526242416817695,1.1906790556071023e-07
1492217472,-0.5178785920143127,-200.0,-40.05188825708312,-240.0518882570833,200,0.003440897655673325,2.197048930785428e-07
176978058,-0.5248672962188721,-200.0,-56.219352125420926,-256.21935212542104,200,0.0033071889902930706,1.1640089452868985e-07
1871322556,-0.42254793643951416,-200.0,-49.51402917132067,-249.51402917132074,200,0.0032369888649554923,1.883668443580788e-07
